District Name,PDF Path,Pred Outdoor Score,Pred Climate Score,Pred Energy Score,Pred Total Score,Outdoor Confidence,Climate Confidence,Energy Confidence,Outdoor Reasoning,Climate Reasoning,Energy Reasoning,Num Pages,Num Chunks,error
Anaheim Elementary,data/pdfs/AnaheimElementary.pdf,3.0,1.0,1.0,5.0,medium,medium,high,"The plan includes repeated, concrete outdoor learning and shade-related design elements, including outdoor learning courts, student quads, shade structures, covered walkways, and green space/playfield improvements. It also shows some site-level data and costs for outdoor areas, but the greening discussion is not districtwide or centered on climate-adapted landscape strategy. What is missing for a 4 is a fuller campus-greening framework with districtwide canopy/surface data, stormwater or permeable-surface strategies, and explicit climate resilience framing.","The plan includes several climate-adjacent design responses, especially shade, covered walkways, and solar panels where possible, but it does not clearly frame these as climate resilience measures. It also lacks an explicit climate risk assessment or districtwide resilience theme beyond general safe and secure campus design. This fits a minimal acknowledgment of climate impacts rather than a developed climate planning section.","The provided chunks focus on educational spaces, campus layout, shading, and safety/security, but they do not discuss energy efficiency, electrification, decarbonization, outages, or energy resilience. There is also no energy data or reference to Title 24, Zero Net Energy, or similar state energy requirements. The strongest energy-related item is a brief mention of solar panels on covered shelters, which is only a passing reference.",148.0,74.0,
Antioch Unified,data/pdfs/AntiochUnified.pdf,2.0,1.0,2.0,5.0,high,low,high,"The plan includes repeated references to outdoor spaces such as ball fields, play areas, quads, and exterior lunch canopies, with some shade structures and occasional mention of natural grass. However, these references are mostly functional and site-specific, with little analysis of greening, canopy, permeability, or wellness impacts. The overall evidence fits limited description rather than developed campus greening planning.","The plan briefly acknowledges weather-related conditions by calling for shade structures and canopies for hot and inclement weather, but it does not discuss climate change as a planning issue in any developed way. The references are general facility comfort and safety measures rather than a climate risk assessment or resilience strategy. This fits minimal acknowledgment, not a detailed climate readiness framework.","The section repeatedly lists energy-related capital work such as chiller reconstruction, HVAC repairs and replacements, lighting replacement, and some charging stations, which shows limited energy planning. However, it does not discuss energy resilience, decarbonization, electrification strategy, or state requirements like Title 24 or Zero Net Energy, and it provides no energy-use data or targets.",297.0,148.0,
Antioch Unified,data/pdfs/AntiochUnified.pdf,,,,,,,,,,,,,[Errno 28] No space left on device
Belmont-RedwoodShores Elementary,data/pdfs/Belmont-RedwoodShoresElementary.pdf,3.0,2.0,3.0,8.0,high,high,high,"The plan gives site-specific analysis of outdoor spaces, including shade, surface types, lawn condition, trees, courtyards, edible gardens, and underused areas, and it recommends greening actions such as low-water planting, more shade, outdoor classrooms, and removing ornamental lawn. This is more than a passing mention, but the outdoor greening content is not framed as a central districtwide strategy with detailed districtwide green-space metrics or a fully integrated climate-resilience program.","The plan addresses at least one climate-related risk in some detail, especially drainage/flooding and sea level rise at the low-lying Sandpiper site, and it also recommends water-efficiency and drought-tolerant landscape strategies. However, climate readiness is not framed as a central districtwide planning theme across the introduction, projects, and long-range planning. The evidence is stronger than a minimal mention, but it does not rise to the level of comprehensive climate resilience planning.","The plan includes multiple concrete energy measures and a clear move toward electrification, including replacing gas systems with all-electric heat pumps and adding rooftop PV. It also discusses energy management systems, MERV 13-related upgrades, and some resilience-related climate/air-quality issues such as smoke/air filtration and equipment access, but it does not present a comprehensive districtwide resilience strategy or explicit Title 24 / Zero Net Energy framework. The evidence is stronger than a limited mention, but it stops short of making energy a core, fully developed planning priority with targets and integrated resilience design.",247.0,123.0,
Castro Valley Unified,data/pdfs/CastroValleyUnified.pdf,3.0,3.0,3.0,9.0,medium,high,high,"The plan includes repeated outdoor-space improvements such as shade structures, artificial turf, campus courtyards, playfield irrigation/drainage, tree trimming/removal, and a science garden/outdoor learning area in later priorities. It goes beyond a passing mention and shows site-level strategies for greening and outdoor use, but the evidence is not consistently districtwide or deeply quantified with canopy or surface-cover data.","The plan addresses several climate-related risks in some detail, especially flooding, erosion, stormwater management, and hillside stabilization, and ties them to specific vulnerable areas like playfields, courtyards, walkways, roofs, and drainage systems. It also includes resilience-focused projects such as battery backup, additional solar, and EV charging, showing climate readiness as a recurring planning theme across site master plans and project phases. It does not reach score 4 because the climate analysis is not presented as a comprehensive districtwide assessment of multiple climate impacts in the introduction, facilities overview, and long-range planning sections.","The plan includes repeated energy efficiency upgrades such as LED lighting, HVAC improvements, solar array installation, and site electrical upgrades. It also explicitly frames ""Sustainability and Resilience"" around battery backup and additional solar, which shows some resilience planning. However, the evidence is mostly project lists and does not provide energy-use baselines, targets, or a comprehensive decarbonization or electrification strategy tied to state requirements.",133.0,65.0,
Castro Valley Unified,data/pdfs/CastroValleyUnified.pdf,,,,,,,,,,,,,[Errno 28] No space left on device
El Dorado Union High,data/pdfs/ElDoradoUnionHigh.pdf,3.0,1.0,3.0,7.0,high,low,high,"The plan includes several concrete outdoor-space improvements such as shade structures, outdoor dining canopies, outdoor lab shelters, and a greenhouse, along with a rain/drainage-related improvement at Oak Ridge. It also ties some outdoor areas to wellness and outdoor learning, especially the Natural Resources outdoor laboratory and year-round use of fields for health and fitness. However, the evidence is site-specific rather than districtwide and does not provide campus-wide data on canopy, surface types, or broader greening strategy.","The provided text mentions some climate-relevant facility actions, such as roof replacements, HVAC upgrades, insulation, shade structures, and drainage improvements, but it does not frame them as a climate risk assessment or resilience plan. The language is largely about general modernization, repairs, and access improvements rather than climate readiness as a planning theme.","The plan includes several concrete energy-related upgrades, including replacing boiler systems, upgrading HVAC, adding energy efficient rooftop units, converting lighting to high efficiency LED, and installing dual-pane windows. It also references a state modernization context and appears to treat energy improvements as part of broader facilities work, but it does not provide energy use data, resilience planning, or a formal decarbonization/electrification strategy. To reach the next score, the plan would need districtwide energy baselines or targets, explicit Title 24 or Zero Net Energy references, and more comprehensive resilience measures such as solar plus storage, microgrids, or outage/climate disruption planning.",117.0,59.0,
El Dorado Union High,data/pdfs/ElDoradoUnionHigh.pdf,,,,,,,,,,,,,[Errno 28] No space left on device
Lompoc Unified,data/pdfs/LompocUnified.pdf,3.0,1.0,2.0,6.0,high,high,medium,"The plan includes repeated, site-level outdoor improvement items such as landscaping, irrigation upgrades, turf repair, shade structures, and drainage improvements across multiple schools. It also notes outdoor-related amenities like bottle fillers and playground upgrades, showing more than a passing reference to campus outdoor spaces. However, it does not provide districtwide analysis of green space, canopy cover, or a holistic greening strategy centered on climate resilience or outdoor learning.","The plan includes some climate-relevant facility responses, such as backup generators, HVAC cooling upgrades, irrigation work, drainage improvements, roofing, and flood-related repairs. However, these are presented as general facility needs rather than as a climate risk assessment or resilience strategy tied to specific climate hazards, and the plan does not center climate readiness as a districtwide theme.","The section includes repeated mentions of LED lighting already installed, HVAC cooling upgrades, and backup power generators at multiple sites, which shows some energy-related planning. However, it does not frame energy efficiency or resilience as a core plan area, and it lacks any energy-use data, decarbonization strategy, electrification plan, or references to Title 24 or Zero Net Energy goals.",196.0,88.0,
Lompoc Unified,data/pdfs/LompocUnified.pdf,,,,,,,,,,,,,[Errno 28] No space left on device
