District Name,PDF Path,Pred Outdoor Score,Pred Climate Score,Pred Energy Score,Pred Total Score,Outdoor Confidence,Climate Confidence,Energy Confidence,Outdoor Reasoning,Climate Reasoning,Energy Reasoning,Num Pages,Num Child Chunks,error
Anaheim Elementary,data/pdfs/AnaheimElementary.pdf,3.0,0.0,2.0,5.0,high,low,medium,"The plan includes repeated, concrete outdoor learning and campus outdoor space strategies, including outdoor learning courts, student quads, shade structures, and outdoor learning spaces. It also gives some site-level quantities for outdoor learning areas and play yards, but it does not present districtwide greening analysis such as canopy cover, surface-type data, or a broader climate-resilience framing. To reach the next score, the plan would need districtwide outdoor-space data and a more explicit, integrated campus greening strategy tied to shade, permeable surfaces, stormwater, or heat mitigation.","The provided text does not mention climate change, climate hazards, or climate resilience as planning topics. It focuses on educational specifications, safety/security, shade, and site improvements, but these are not framed as responses to climate risk. Because there is no clear climate-risk assessment or resilience strategy, the score is 0.","The plan includes some energy-related upgrades such as solar panels where possible, lighting and controls upgrades, HVAC upgrades, electrical capacity upgrades, and solar shade. It also notes utility and electrical improvements at several sites, but it does not discuss energy resilience, decarbonization, energy use data, or any state requirements like Title 24 or Zero Net Energy. Overall, this is limited project-level detail rather than a comprehensive energy strategy.",148.0,74.0,
Antioch Unified,data/pdfs/AntiochUnified.pdf,3.0,1.0,3.0,7.0,high,low,high,"The plan includes repeated, concrete outdoor-space strategies such as redesigning ball fields for natural grass or artificial turf, creating exterior lunch canopies, and adding shade structures. It also references some site-specific outdoor improvements like a centralized quad, outdoor assembly areas, and replacing landscaping in certain areas, but it does not provide districtwide green-space data or make campus greening a central climate-resilience strategy.","The plan includes some climate-related references, mainly to hot and inclement weather, shade structures, HVAC repairs, and storm drain inspection/replacement. However, these appear as general facilities or comfort items rather than a developed climate risk assessment or resilience strategy. There is no clear districtwide climate readiness theme or detailed analysis of specific climate hazards.","The plan includes clear energy-efficiency measures and some resilience-related planning, including LED lighting upgrades, energy-efficient lighting controls and HVAC controls, solar panels, and charging stations in site budgets. It also frames sustainability and energy conservation as district goals and notes that future projects could include rooftop solar, but it does not provide a comprehensive resilience strategy or detailed energy-use targets. It references state requirements in general terms, but does not present a full electrification or decarbonization plan.",297.0,148.0,
Belmont-RedwoodShores Elementary,data/pdfs/Belmont-RedwoodShoresElementary.pdf,3.0,2.0,3.0,8.0,high,high,high,"The plan provides recurring site-specific detail on outdoor spaces, shade, ornamental lawn, edible gardens, and underutilized areas, plus recommendations for drought-tolerant planting, more shade, and outdoor classrooms. It goes beyond a passing mention by tying greening to design improvements, but it is not framed as a central districtwide climate strategy with broad quantified analysis of green space or canopy cover.","The plan addresses multiple climate-related risks in some detail, especially flooding/drainage, sea level rise, drought/water use, and heat/shade exposure. It also includes mitigation steps such as drought-tolerant planting, water-efficient irrigation upgrades, improved drainage, and added shade. However, climate readiness is not clearly presented as a central districtwide planning theme across the introduction, project sections, and long-range planning, so it does not rise to a 3.","The plan includes repeated energy-efficiency and electrification recommendations, such as LED lighting, PV expansion, Energy Management Systems, and replacing gas equipment with all-electric heat pump systems. It also references California building energy efficiency standards and ASHRAE life-cycle guidance, with some discussion of utility-cost and emissions reductions. However, the energy content is mostly consultant-level recommendations rather than a comprehensive districtwide resilience strategy with baselines, targets, or solar-plus-storage/microgrid planning.",247.0,123.0,
Castro Valley Unified,data/pdfs/CastroValleyUnified.pdf,3.0,1.0,3.0,7.0,high,high,high,"The plan includes repeated site-level outdoor space improvements such as shade structures, amphitheaters, artificial turf, science gardens, and outdoor learning areas. It also shows some analysis and maintenance tied to outdoor areas, including drainage, erosion control, irrigation, and upgrades to fields and courtyards. However, the section does not present districtwide greening data or a fully holistic climate-resilience approach across the whole district, so it fits sufficient detail rather than significant detail.","The plan repeatedly includes ""Sustainability and Resilience"" projects such as battery backup, solar, and EV charging, which shows awareness of climate-related readiness. However, it does not provide a real climate risk assessment or explain specific climate hazards, vulnerabilities, or districtwide resilience planning in detail.","The plan repeatedly includes sustainability and resilience projects such as solar arrays, battery backup, EV charging, and LED lighting upgrades, and it also shows prior HVAC and solar work at multiple schools. It provides some costed project summaries and treats resilience as a planned area of focus, but it does not present a districtwide energy baseline, decarbonization strategy, or a comprehensive electrification plan. This fits sufficient detail rather than the more developed, state-referenced planning required for a 4.",133.0,65.0,
El Dorado Union High,data/pdfs/ElDoradoUnionHigh.pdf,3.0,2.0,2.0,7.0,high,medium,medium,"The plan includes multiple concrete outdoor-space improvements such as shade structures, outdoor dining, courtyards, amphitheater-style seating, and outdoor lab areas, along with some references to landscaping and drainage. It also connects outdoor areas to student use and learning in a few places, but it does not present districtwide greening data or make campus greening a central plan theme. To reach the next score, it would need districtwide analysis of outdoor surfaces or shade cover and a more comprehensive greening strategy tied to climate resilience, stormwater, or environmental literacy.","The plan includes some climate-related impacts in detail, especially heat on athletic fields and weather/rain delays that affected project timing. It also shows a mitigation response by using cooler turf material to reduce field heat, but climate readiness is not presented as a districtwide planning theme. This fits Option A for a 2, not the broader, integrated treatment needed for a higher score.","The plan includes some energy-related upgrades, such as HVAC replacements, energy-efficient rooftop units, and dual-pane windows, which shows limited attention to energy efficiency. It does not present energy use data, a resilience strategy, or a clear electrification/decarbonization plan, and state requirements like Title 24 or Zero Net Energy are not discussed in a developed way.",117.0,59.0,
Lompoc Unified,data/pdfs/LompocUnified.pdf,3.0,1.0,3.0,7.0,high,high,high,"The plan includes repeated site-improvement items that affect outdoor space, such as landscaping, irrigation upgrades, turf improvement/repair, shade structures, and playground surfacing. It also provides some analysis of outdoor conditions at specific sites, including notes about fields needing irrigation coverage, flooding/drainage, and requests for outdoor bottle fillers and play-area upgrades. However, the greening content is site-specific and operational rather than a districtwide climate-adapted outdoor greening strategy.","The plan mentions a few climate-adjacent hazards and responses, such as drainage/irrigation problems, flooding areas, roof repairs, shade structures, and backup generators. However, these are presented as site needs rather than as a climate risk assessment, and the plan does not center climate readiness or explain broader climate impacts. The evidence is enough for a broad acknowledgment, but not enough for a detailed resilience strategy.","The plan includes recurring energy-related upgrades such as LED lighting, HVAC cooling replacements, electrical improvements, and several backup power generators. It also documents a solar installation and gives a districtwide needs-assessment style list with costed energy and resilience items, which is enough for sufficient detail. However, it does not clearly frame energy resilience, electrification, or decarbonization as core priorities, and it does not reference Title 24 or Zero Net Energy goals.",196.0,88.0,
Marysville Joint Unified,data/pdfs/MarysvilleJointUnified.pdf,3.0,1.0,2.0,6.0,medium,low,medium,"The plan includes several concrete outdoor-space improvements, including new shade structures and new outdoor learning spaces at multiple schools, plus a covered outdoor learning/meeting space and community gardens in the education specifications. It also references playfields, hardcourts, and outdoor learning areas, showing more than a passing mention. However, it does not provide districtwide analysis of green space, canopy cover, surface types, or stormwater strategies, so it does not reach the highest level.","The provided text does not directly assess climate hazards or climate resilience as a planning theme. It mainly describes facility conditions and proposed modernization items, with only a few generic references to outdoor shade, outdoor learning, and protecting students from the elements. This fits minimal acknowledgment rather than developed climate risk planning.","The section mentions energy-related facility issues and some efficiency-related upgrades, such as outdated HVAC, lighting, and electrical systems, plus a few comments about daylighting and Title 24 in design standards. However, it does not present a comprehensive energy strategy, energy-use data, or a clear resilience/decarbonization plan. The evidence fits limited description rather than a developed energy planning section.",750.0,375.0,
Menlo Park,data/pdfs/MenloPark.pdf,3.0,3.0,4.0,10.0,high,high,high,"The plan includes concrete outdoor-space improvements such as shade structures, landscaping, asphalt repair, and updated play areas across multiple campuses. It also frames shade as supporting outdoor student activities and learning, which goes beyond a passing mention, but it does not provide districtwide analysis of green space, canopy cover, or permeable surfaces. The next higher score would need broader districtwide outdoor-greening data and a more fully developed climate-resilience or stormwater strategy.","The plan treats climate resilience as a guiding principle and repeats it in the overview, outreach findings, and campus project lists. It also addresses specific climate-related impacts in some detail, especially heat and wildfire smoke/air quality, and pairs them with mitigation measures such as HVAC upgrades, shade structures, solar and battery backup, and emergency power. This goes beyond a general mention because it links vulnerabilities at schools to concrete districtwide strategies.","The plan makes energy resilience and efficiency a clear priority by highlighting solar energy generation and storage, backup power, and all-electric HVAC upgrades districtwide. It also ties these measures to climate-related disruptions like heat and wildfire smoke, and gives concrete campus-level strategies that reduce energy use, emissions, and indoor air quality impacts. While it does not explicitly name Title 24 or Zero Net Energy, the energy planning is detailed and central enough to reach the top rubric level.",40.0,20.0,
Moraga Elementary,data/pdfs/MoragaElementary.pdf,3.0,2.0,3.0,8.0,high,medium,high,"The plan includes multiple concrete outdoor-space improvements with clear greening and outdoor learning elements, including outdoor classrooms/quad renovations with shade structures and native vegetation, a wellness courtyard/garden, shade structures, and replanting trees. It also adds drainage, reseeding grass sports areas, and an irrigation well, showing more than passing mention but not a fully districtwide campus-greening framework with comprehensive canopy or surface data.","The plan addresses a few climate-related risks in some detail, especially drainage, erosion, and water use. It also includes mitigation strategies such as connecting roof leaders to storm drains, regrading areas, improving drainage behind retaining walls, using low-water ground cover, and adding shade structures. However, climate readiness is not presented as a central districtwide planning theme across the introduction and long-range planning sections.","The plan includes some clear energy-related measures, including Building L energy efficiency upgrades, a new photovoltaic shade structure, insulated window replacements, and replacement of an outdated electrical switchgear. It also addresses energy resilience only indirectly through electrical infrastructure and does not present a comprehensive districtwide energy strategy, so it fits sufficient detail rather than significant detail.",85.0,43.0,
Mother Lode Union Elementary,data/pdfs/MotherLodeUnionElementary.pdf,,,,,,,,,,,,,[Errno 28] No space left on device
